Filename,Full Observation,Core Observation Sentence,Contains Cause & Effect? (yes/no),Cause related to engineered products? (yes/no),Effect related to economic impact? (yes/no),Relevant Portion of the Observation
IMPACT OF A UNIVERSITY ON A LOCAL ECONOMY - SARAJEVO EXAMPLE..txt,"Using this estimate, the net income or output  created by the university in the second -round is calculated as follows:   𝐷𝐼1=(1−𝑡).(𝑌1−ℎ.𝑖.𝐺) = (1 ̶  0.36).(2,543,567  ̶  0.928 x 0.17 x 2,740,913)   𝐷𝐼1= 1,351, 143 KM   This increase in output would be the result of the impact of university’s initial expenditure on  goods and services. However, as explained above, this figure would be incomplete if the additional  output created through student, staff and visitor exp enditure after value added tax deductions ( i.e indirect  economic impact  calculated in the previous section minus the indirect sales tax). Therefore, the correct  version of 𝐷𝐼1 would be as follows:   𝐷𝐼1= 1,351,143 + (1  ̶  0.17).(24,350,437) = 21,562,005  KM  Second -round Gross Local Output Effect:   Second round contributions to gross local income combined with indirect economic contribution  can be calculated using formula (4) in the model section as follows:   𝑌2=𝑚.𝑆+𝑛.𝑐.(𝑊+𝑊𝑜)+𝑘.𝑉+𝑛.𝑐.𝐷𝐼1  𝑌2= 1.(16,601,590) + (0.623).(0.7416).(5,343,723) + (0.80).(2,405,124)   + (0.623).(0.7416).(21,562,005)   𝑌2=30,956,588 KM   Here, following Ceyhan and Guney (2011), it is assumed that the staff’s additional income  through their outside employment as well as research involvement will be implicity included in their  spending which was calculated in the indirect economic impact section. In addition, based on the visitor  survey results, it was estimated that visitors make approximately 80 percent of their spending  in Sarajevo  (k = 0.80). Marginal propensity to consume number for staff (0.7416) is taken from the staff regression Yönetim ve Ekonomi Araştırmaları Dergisi / Journal of Management and Economics Rese arch   Cilt/Volume : 17     Sayı/Issue: 3 Eylül/September 2019    ss./pp.","Therefore, the correct  version of 𝐷𝐼1 would be as follows:   𝐷𝐼1= 1,351,143 + (1  ̶  0.17).(24,350,437) = 21,562,005  KM  Second -round Gross Local Output Effect:   Second round contributions to gross local income combined with indirect economic contribution  can be calculated using formula (4) in the model section as follows:   𝑌2=𝑚.𝑆+𝑛.𝑐.(𝑊+𝑊𝑜)+𝑘.𝑉+𝑛.𝑐.𝐷𝐼1  𝑌2= 1.(16,601,590) + (0.623).(0.7416).(5,343,723) + (0.80).(2,405,124)   + (0.623).(0.7416).(21,562,005)   𝑌2=30,956,588 KM   Here, following Ceyhan and Guney (2011), it is assumed that the staff’s additional income  through their outside employment as well as research involvement will be implicity included in their  spending which was calculated in the indirect economic impact section",no,,,
IMPACT OF A UNIVERSITY ON A LOCAL ECONOMY - SARAJEVO EXAMPLE..txt,"Aydın Doi: http://dx.doi.org/10.11611/yead. 601878   Yönetim ve Ekonomi Araştırmaları Dergisi / Journal of Management and Economics Research       89 results in Table 12, assuming that the MPC value for general public of Bosnia would be similar to IUS  staff’s figure.   Now, later stages can  easily be calculated as follows:   𝐷𝐼2=(1−𝑡).(1−𝑖).𝑌2 = (1− 0.36).(1 − 0.17).(30,956,588) = 16,444,140 KM   𝑌3=𝑛.𝑐.𝐷𝐼2 = (0.623).(0.7416).(16,444,140) = 7,597,469 KM   𝐷𝐼3=(1−𝑡).(1−𝑖).𝑌3 = (1− 0.36).(1 − 0.17).(7,597,469) = 4,035,776 KM   𝑌4=𝑛.𝑐.𝐷𝐼3 = (0.623).(0.7416).(4,035,776) = 1,864,596 KM   𝐷𝐼4=(1−𝑡).(1−𝑖).𝑌4 = (1− 0.36).(1 − 0.17).(1,864,596) = 990,473 KM   𝑌5=𝑛.𝑐.𝐷𝐼4 = (0.623).(0.7416).(990,473) = 457,615 KM   …………   Calculating all the stages of this multiplier process provides that after all rounds; total induced  economic impact of the university in the long -run will be around 41,028,423 KM of additional gross  local output and 21,802,371 KM of additional disposable income in the region.   The final  multiplier for the gross local outputand also for local disposable income, after slight  modification because of the explanation above, can be calculated as:   𝑌𝑓𝑌2⁄ =1+ 𝑌3/([1−𝑛.𝑐.(1−𝑡).(1−𝑖)].𝑌2) = 41,028,423/30,956,588 = 1.325   𝐷𝑓𝐷2⁄ =1+(1−𝑡).(1−𝑖).(1+𝑛.𝑐.(1−𝑡).(1−𝑖)+⋯).𝑌3/𝐷2  𝐷𝑓𝐷2⁄ = 21,802,371/16,444,140 = 1.325   5.5 Employment Effect   IUS, together with SEDEF companies, already directly provide 231 jobs in Ilidza and Sarajevo  area. In addition, as a result of indirect and induced spending caused by its own expenditures as well as  the expenditure by its students, staff and their visitors, creates and sustains additional jobs in the area.","Now, later stages can  easily be calculated as follows:   𝐷𝐼2=(1−𝑡).(1−𝑖).𝑌2 = (1− 0.36).(1 − 0.17).(30,956,588) = 16,444,140 KM   𝑌3=𝑛.𝑐.𝐷𝐼2 = (0.623).(0.7416).(16,444,140) = 7,597,469 KM   𝐷𝐼3=(1−𝑡).(1−𝑖).𝑌3 = (1− 0.36).(1 − 0.17).(7,597,469) = 4,035,776 KM   𝑌4=𝑛.𝑐.𝐷𝐼3 = (0.623).(0.7416).(4,035,776) = 1,864,596 KM   𝐷𝐼4=(1−𝑡).(1−𝑖).𝑌4 = (1− 0.36).(1 − 0.17).(1,864,596) = 990,473 KM   𝑌5=𝑛.𝑐.𝐷𝐼4 = (0.623).(0.7416).(990,473) = 457,615 KM   …………   Calculating all the stages of this multiplier process provides that after all rounds; total induced  economic impact of the university in the long -run will be around 41,028,423 KM of additional gross  local output and 21,802,371 KM of additional disposable income in the region",yes,,,
"IMPACT OF DIGITALISATION ON ECONOMIC GROWTH, PRODUCTIVITY AND EMPLOYMENT..txt","the st andard of living at the  same time. The increase of productivity, besides the increase o f consumption quantity,  enables the reduction of working hours which implies the increa se of leisure, and also  the usefulness of consumers and social welfare5. Besides technological innovations,  changes in institutions and economic policy also influence the increase of  productivity, as well as changes in domestic and international economic relationships.  Productivity is also influenced by market and organizational in novations which  improve the efficiency of produc tion, such as the introduction of serial and mass  production, logistics development,  creating new sales channels and completely new  services, the development of financial instruments etc. Product ivity is also influenced  by workers’ knowledge and skills, since more educated and bette r trained labor force,  with identical technology, accomplishes greater productivity.","Besides technological innovations,  changes in institutions and economic policy also influence the increase of  productivity, as well as changes in domestic and international economic relationships",yes,yes,yes,"""Besides technological innovations,  changes in institutions and economic policy also influence the increase of  productivity, as well as changes in domestic and international economic relationships."""
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Jennifer Hackl Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, D-21073 Hamburg, Germany e-mail: jennifer.hackl@tuhh.de Dieter Krause1 Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, D-21073 Hamburg, Germany e-mail: krause@tuhh.de Kevin Otto Fellow ASME Department of Mechanical Engineering, Aalto University, 00076 Espoo, Finland e-mail: kevin.otto@Aalto. ﬁ Marc Windheim Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, D-21073 Hamburg, Germany e-mail: Marc.windheim@tuhh.de Seung Ki Moon School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore 639798 e-mail: skmoon@ntu.edu.sg Nikola Bursac Trumpf Werkzeugmaschinen GmbH & Co. KG, D-71254 Ditzingen, Germany e-mail: nikola.bursac@trumpf.com Roland Lachmayer Institute of Product Development, Leibniz University, D-30167 Hannover, Germany e-mail: lachmayer@ipeg.uni-hannover.deImpact of Modularity Decisions on a Firm ’s Economic Objectives Research in modularization of product families reveals numerous individual cause and effect impacts of modularity on a ﬁrm. There are clearly many interrelated positive and neg- ative economic impacts arising from different activities of the ﬁrm impacted by the modular product structures. This makes the construction of an economic business case for modular- ity dif ﬁcult, where often the bene ﬁts are reduced indirect costs.","KG, D-71254 Ditzingen, Germany e-mail: nikola.bursac@trumpf.com Roland Lachmayer Institute of Product Development, Leibniz University, D-30167 Hannover, Germany e-mail: lachmayer@ipeg.uni-hannover.deImpact of Modularity Decisions on a Firm ’s Economic Objectives Research in modularization of product families reveals numerous individual cause and effect impacts of modularity on a ﬁrm",yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"ﬁ Marc Windheim Institute of Product Development and Mechanical Engineering Design, Hamburg University of Technology, D-21073 Hamburg, Germany e-mail: Marc.windheim@tuhh.de Seung Ki Moon School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore 639798 e-mail: skmoon@ntu.edu.sg Nikola Bursac Trumpf Werkzeugmaschinen GmbH & Co. KG, D-71254 Ditzingen, Germany e-mail: nikola.bursac@trumpf.com Roland Lachmayer Institute of Product Development, Leibniz University, D-30167 Hannover, Germany e-mail: lachmayer@ipeg.uni-hannover.deImpact of Modularity Decisions on a Firm ’s Economic Objectives Research in modularization of product families reveals numerous individual cause and effect impacts of modularity on a ﬁrm. There are clearly many interrelated positive and neg- ative economic impacts arising from different activities of the ﬁrm impacted by the modular product structures. This makes the construction of an economic business case for modular- ity dif ﬁcult, where often the bene ﬁts are reduced indirect costs. This paper presents a liter- ature-based network model of how modular product structures affect ﬁrm’s economics across the design-to-manufacturing life cycle phases.",There are clearly many interrelated positive and neg- ative economic impacts arising from different activities of the ﬁrm impacted by the modular product structures,yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"This makes the construction of an economic business case for modular- ity dif ﬁcult, where often the bene ﬁts are reduced indirect costs. This paper presents a liter- ature-based network model of how modular product structures affect ﬁrm’s economics across the design-to-manufacturing life cycle phases. It shows how (1) changes on modu-larity properties may lead to (2) different effects within the product ’s life cycle phases that (3) have an economic impact on the ﬁrm. For instance, modularization can prolong development time of a platform, while shortening the subsequent development times of product variants and lowering manufacturing costs. To validate the proposed model, the given effect chains were compared by industrial experts against nine case study modular-ization projects by marking effects that were experienced and observed in their projects.",It shows how (1) changes on modu-larity properties may lead to (2) different effects within the product ’s life cycle phases that (3) have an economic impact on the ﬁrm,yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Second, in procurement, it was found thatincreased modularity caused better predictability, less purchasing orders, and better pur- chasing conditions that ultimately lead to lower costs. Third, in production, it was found that a smaller variety of components allowed less process variety, leading to fewer and more optimized processes and therefore lower production costs. We present these cause and effect impacts of modularity as drivers for quantifying the economic impact of modu-larity. [DOI: 10.1115/1.4044914] Keywords: modularity, cause and effect model, product family design, life cycle analysis and design, product development, product platform design 1 Introduction Modularization has become a well-established approach to intro- duce a variety of products to different markets by reducing the inter- nal variety of components and processes of a company [ 1–3]. In this paper, we consider product modularity as a property of the product architecture, including its sub-properties: commonality, combin- ability, separability, function binding, and interface standardization [4,5].",We present these cause and effect impacts of modularity as drivers for quantifying the economic impact of modu-larity,yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Third, in production, it was found that a smaller variety of components allowed less process variety, leading to fewer and more optimized processes and therefore lower production costs. We present these cause and effect impacts of modularity as drivers for quantifying the economic impact of modu-larity. [DOI: 10.1115/1.4044914] Keywords: modularity, cause and effect model, product family design, life cycle analysis and design, product development, product platform design 1 Introduction Modularization has become a well-established approach to intro- duce a variety of products to different markets by reducing the inter- nal variety of components and processes of a company [ 1–3]. In this paper, we consider product modularity as a property of the product architecture, including its sub-properties: commonality, combin- ability, separability, function binding, and interface standardization [4,5]. Here, we focus on variety-induced complexity and consider modularity in the context of product family design, and the eco-nomic costs and bene ﬁts to the product family.","[DOI: 10.1115/1.4044914] Keywords: modularity, cause and effect model, product family design, life cycle analysis and design, product development, product platform design 1 Introduction Modularization has become a well-established approach to intro- duce a variety of products to different markets by reducing the inter- nal variety of components and processes of a company [ 1–3]",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"While the many effects of modularization have been investigated and described in the literature, the underlying relations between theproduct structure and the economic bene ﬁts and other impacts across different product life phases have not yet been fully described. We know that different companies undertake modulari- zation efforts for different reasons, e.g., Robertson and Ulrich have shown reductions in costs and development times [ 9] and Fuchs and Golenhofen have shown the higher agility from modular- ity [10]. While these individual bene ﬁts are known, the interrela- tions among the product modularity, life phase effects, and associated economic impact are less clear. For example, Windheim et al. pointed out that a modularity decision is based on differenti-ated perspectives from different product life phases and is bundled to a modularization decision dashboard to integrate a lot of different aspects in a clear and documented way [ 11].","While these individual bene ﬁts are known, the interrela- tions among the product modularity, life phase effects, and associated economic impact are less clear",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Editor: Christopher Mattson. Journal of Mechanical Design APRIL 2020, Vol. 142 / 041403-1 Copyright © 2019 by ASMEDownloaded from http://asmedigitalcollection.asme.org/mechanicaldesign/article-pdf/142/4/041403/6441526/md_142_4_041403.pdf?casa_token=XzKKw8kXSaQAAAAA:UGMCw6yoXZR2jFfvghLSwf9ery4Z505yWu4rBxfRVQbVUkMXWTeGfj7OmSn1dAV75aEzVRs7 by Brigham Young University user on 08 February 2023 Many researchers have studied various relationships between modularization and its economic impact on the ﬁrm. Pahl et al. have highlighted that the modular product structure is determined by decisions such as the number of sizes for each module, interface deﬁnitions, etc.",142 / 041403-1 Copyright © 2019 by ASMEDownloaded from http://asmedigitalcollection.asme.org/mechanicaldesign/article-pdf/142/4/041403/6441526/md_142_4_041403.pdf?casa_token=XzKKw8kXSaQAAAAA:UGMCw6yoXZR2jFfvghLSwf9ery4Z505yWu4rBxfRVQbVUkMXWTeGfj7OmSn1dAV75aEzVRs7 by Brigham Young University user on 08 February 2023 Many researchers have studied various relationships between modularization and its economic impact on the ﬁrm,no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Others consider the many effects of modularity. Ripperda and Krause [ 17] highlighted the broad range of life cycle impacts, includ- ing criteria from development, market, production, service, etc.,that must be accounted for, such as variety costs, individual unit costs, development time, servicing costs, etc. Ericsson and Erixon developed several such sources of economic impacts as modularity drivers [ 18]. Ulrich discussed the bene ﬁts of modularity [ 19]. We here seek an overall picture of how different changes in the modularity of a product structure lead to a different economic impact for the ﬁrm.",Ericsson and Erixon developed several such sources of economic impacts as modularity drivers [ 18],no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,Ericsson and Erixon developed several such sources of economic impacts as modularity drivers [ 18]. Ulrich discussed the bene ﬁts of modularity [ 19]. We here seek an overall picture of how different changes in the modularity of a product structure lead to a different economic impact for the ﬁrm. Studying how modularity decisions affect dif- ferent product life cycle phases and the associated economic impact in that phase could provide economic guidance. Different modularity decisions have different effects —both within the differ- ent departments of a company and on a summary economic level.,We here seek an overall picture of how different changes in the modularity of a product structure lead to a different economic impact for the ﬁrm,no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Ulrich discussed the bene ﬁts of modularity [ 19]. We here seek an overall picture of how different changes in the modularity of a product structure lead to a different economic impact for the ﬁrm. Studying how modularity decisions affect dif- ferent product life cycle phases and the associated economic impact in that phase could provide economic guidance. Different modularity decisions have different effects —both within the differ- ent departments of a company and on a summary economic level. By developing a cause and effect model, business cases for modu- larity can be made with greater precision by considering the impact at each life cycle phase and economically quantifying that impact.",Studying how modularity decisions affect dif- ferent product life cycle phases and the associated economic impact in that phase could provide economic guidance,yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Different modularity decisions have different effects —both within the differ- ent departments of a company and on a summary economic level. By developing a cause and effect model, business cases for modu- larity can be made with greater precision by considering the impact at each life cycle phase and economically quantifying that impact. We propose a dependency network model among modularity deci- sions, life cycle effects, and their economic impacts. The model is based on the literature reporting the effects and impacts of modular- ity. Furthermore, recent industrial case studies of product modulari-zation are used to verify the relationships between the modularity decisions and their effects.","We propose a dependency network model among modularity deci- sions, life cycle effects, and their economic impacts",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"This lowered development costs per unit and reduced component variety, leading to a smaller variety of production processes and subsequent lower costs. Within our case studies, these were the most dominant concerns driving modularity decisions. The most positive economic impactobserved was the increase of communal use of modules with higher component reuse and lower component variety. Section 2of this paper reviews the current literature on modular- ity effects that serves as a basis for the modularity impact model, which is presented and explained in Sec. 3.",The most positive economic impactobserved was the increase of communal use of modules with higher component reuse and lower component variety,yes,yes,yes,"""This lowered development costs per unit and reduced component variety, leading to a smaller variety of production processes and subsequent lower costs. Within our case studies, these were the most dominant concerns driving modularity decisions. The most positive economic impactobserved was the increase of communal use of modules with higher component reuse and lower component variety."""
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"While bene ﬁts are men- tioned most frequently, there are also potential disadvantages such as longer development times and greater efforts needed for the initial modular architecture or platform itself. Overall, differenteffects of modularity can occur in different areas of a company, e.g., from development, assembly, and supply chain to service. In the following, we review the literature on modularity effect ’s product life phase, concentrating on the product development, procurement, and production phases. 2.2.1 Product Development. Modularity can impact the devel- opment phase by creating differences in development time, team, testing, and costs.","In the following, we review the literature on modularity effect ’s product life phase, concentrating on the product development, procurement, and production phases",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"In the following, we present this network of correlating in ﬂuences to provide structure to modularity and to enable full consideration of different modular-ity design decisions. 3 Relationship Network Model Describing the Impact of Modular Product Structures In previous work, Hackl and Krause [ 48] developed a network requirement diagram that described the various effects of modular product structures. Here, we include work on economic impacts and verify it with several large modular-family design industrial case studies. Our resulting modularity impact model is based on causes and effects of modular product structures as reported inthe literature. It describes the relationships between modular product structure properties and the network of effects which can happen when changing any of those properties (see Sec.","Here, we include work on economic impacts and verify it with several large modular-family design industrial case studies",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"The links between modularity properties will be de ﬁned as the ﬁrst node of the model, depicting modularity design decisions. Chang- ing the modularity properties is therefore being the cause for the fol- lowing effects. The life cycle phase effects are de ﬁned as a second node type, which themselves are followed by economic impacts fortheﬁrm, represented by a third node type. 3.1 Main Structure of the Network Relationship Model. We represent three sequential nodes in a diagram as shown inFig.","The life cycle phase effects are de ﬁned as a second node type, which themselves are followed by economic impacts fortheﬁrm, represented by a third node type",yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"The second node type showslife cycle effects. The last node type refers to the actual economicimpact onto the ﬁrm. Economic impact arises from life cycle effects that are the direct cause for the economic advantages or dis- advantages. The aim of the network relationship model is to provide a detailed hierarchical net of modularity properties, effects, and impacts to clarify which modular product structure properties can provide a desired outcome. Modularization provides many advantages for a ﬁrm (see Sec.",Economic impact arises from life cycle effects that are the direct cause for the economic advantages or dis- advantages,yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"The aim of the network relationship model is to provide a detailed hierarchical net of modularity properties, effects, and impacts to clarify which modular product structure properties can provide a desired outcome. Modularization provides many advantages for a ﬁrm (see Sec. 2), yet we have observed that it can also be the case that it is often dif- ﬁcult to economically justify the move to a modular architecture, because the cost saving bene ﬁts are not apparent; the relations between product architecture decisions and economic impact arenot transparent [ 10]. Therefore, a secondary bene ﬁt of the model is to enable quanti ﬁcation of the economic bene ﬁt of a modularity project within a ﬁrm by quantifying the second nodes. In combina- tion with an engineering assessment of how modularity will impact the life cycle effect, it is natural that an economic assessment of modularity becomes easier.","2), yet we have observed that it can also be the case that it is often dif- ﬁcult to economically justify the move to a modular architecture, because the cost saving bene ﬁts are not apparent; the relations between product architecture decisions and economic impact arenot transparent [ 10]",yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"3). 3.1.3 Node Type 3 —Economic Impact. The third node type in the network model summarizes the life phase effects as economic impact. This provides the summary outcome for the ﬁrm, connect- ing modularity design decisions to economic outcomes. In conjunc-tion with the marked arrows, this can indicate how modularization actions provide value or cost to a ﬁrm.",The third node type in the network model summarizes the life phase effects as economic impact,no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"3represent the number of the references in this paper to mark the effects ’origin. The product life phase view provides detailed effects within each department to directly commu- nicate the possible outcomes of modularity within the speci ﬁc departments. Figure 3shows the modularity impact model for the product development, procurement, and production life phase. The boxes within node type two “life phase effects ”show arrowsModularity propertyLife phase eﬀect CommonalityDevelopment  /g415meIni/g415al /g415me  investmentParallel  development Product innova/g415onOutsourcing of  development tasks Innova/g415on Adaptability  UpgradeabilityEase of variant  deriva/g415onDevelopment  costs per unit Maturity of  product Volume Eﬃcient product  performanceEﬃciency CommonalityStock costs Dependency on  supplierCode  numbersStock Time for supplier  management Procurement  costs Purchasing  condi/g415onsNo. of purchase  orders Lot sizeNo.","Figure 3shows the modularity impact model for the product development, procurement, and production life phase",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"of  suppliers Manufacturing  ﬂexibilityNo. of parts and  spare partsParts  administra/g415on Spare parts costsOversizingDecoupling Component  reuse Component  variety[18] [18][18] [15,29][15,29] [29-31][28,29,9] [32,33] [33,34][33, 35,20,25][19,29] [29][9,21,30,33][30] [17,23,15,20][36,35,18,2,21] [28,13,37][18] [30] [30,34][34,39][39][1] [18] [31] [30] [37,40] [30][18][30,41][28] [15,34,42] [18,30,33][42] [34][18] [9,21,42,15,25,35][43][30] [9,5,25][9,15,47][28,18,45] [45,9,46] [9,15,47][21,29] [##][29] [16][9,14,15,18,29,30,33,40] Product life phasesCommonality Tool/ jig  investments[23,20][17]Ease of mapping  organisa/g415on to tasksStart of produc/g415on  planning Reliability of  product Weight Predictability Lot size Postponement Variety of produc/g415on  processesParallel produc/g415on  processes [28,46,30,35] Eﬀects aligned on  the le/g332 exis/g415n  severallife phases Fig. 3 Modularity impact model —product development, procurement, and production Journal of Mechanical Design APRIL 2020, Vol. 142 / 041403-5Downloaded from http://asmedigitalcollection.asme.org/mechanicaldesign/article-pdf/142/4/041403/6441526/md_142_4_041403.pdf?casa_token=XzKKw8kXSaQAAAAA:UGMCw6yoXZR2jFfvghLSwf9ery4Z505yWu4rBxfRVQbVUkMXWTeGfj7OmSn1dAV75aEzVRs7 by Brigham Young University user on 08 February 2023 in different colors, pointing upwards or downwards. Upwards indi- cate an increase of the effect, downwards a decrease.","3 Modularity impact model —product development, procurement, and production Journal of Mechanical Design APRIL 2020, Vol",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Upwards indi- cate an increase of the effect, downwards a decrease. Green arrows indicate bene ﬁcial effects for the ﬁrm, red ones indicate detrimental effects, and blank ones are neutral effects (assignment of color was made by the authors, unless the effect ’s appraisal was speci ﬁed in the literature). For example, in product development, the upper part of the ﬁgure, it shows that by increasing the commonality of modules, component reuse can be increased leading to reduced development costs per unit since the costs can be counted for a higher number of modules built. Likewise, by decoupling modules, module reuse and adaptability ofmodules can be increased, which allows for easier derivation of new product variants from the existing set of modules, leading to lower development times. This time advantage for a ﬁrm can be counted against the initial time that has to be invested in the initial develop- ment of the module set for the product family.","For example, in product development, the upper part of the ﬁgure, it shows that by increasing the commonality of modules, component reuse can be increased leading to reduced development costs per unit since the costs can be counted for a higher number of modules built",yes,yes,yes,"""in product development, the upper part of the ﬁgure, it shows that by increasing the commonality of modules, component reuse can be increased leading to reduced development costs per unit since the costs can be counted for a higher number of modules built. Likewise, by decoupling modules, module reuse and adaptability ofmodules can be increased, which allows for easier derivation of new product variants from the existing set of modules, leading to lower development times. This time advantage for a ﬁrm can be counted against the initial time that has to be invested in the initial develop- ment of the module set for the product family."""
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"3. The percentages quantify how often the effects were marked across the case studies. Additionally, the cor- relations can be traced throughout the effect chains from decisions on modularity properties to life cycle phases to economic impacts. Figure 5only shows the effects from the modularity impact model from Fig. 3that are con ﬁrmed by the experts in ﬁve out of the nine case studies (i.e., more than half of the cases), sayingthat this effect did have a signi ﬁcant impact on the project.","Additionally, the cor- relations can be traced throughout the effect chains from decisions on modularity properties to life cycle phases to economic impacts",yes,yes,yes,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"This led to a reduction of parts administration; however, only four out of the nine cases (44%)saw a time reduction in parts administration. Service actions were important to all of the companies; when considering the possiblelength of product life cycles, reducing code numbers offers a rather long-term bene ﬁt. Product development has both positive and negative dominant effects, as shown in Fig. 5. The experts reported an increase in product reliability resulted from increasing the component reuse in 78% of the cases.","Product development has both positive and negative dominant effects, as shown in Fig",yes,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Increasing the initial timeinvestment would increase development time for the modular kit (78%). Both the initial time investment and the loss of freedom of design were detrimental within product development. Yet, positive economic impacts were also reported, e.g., lower development costs per unit (100%) and a greater maturity of the product (two-third ofthe cases) caused by higher reliability of the products (78%) and a lower failure rate (67%). The most important driver for product development was the increase of component reuse. By intra-product family reuse of com-ponents, development costs can be distributed across a highernumber of parts built which lowers relative development costs.","Yet, positive economic impacts were also reported, e.g., lower development costs per unit (100%) and a greater maturity of the product (two-third ofthe cases) caused by higher reliability of the products (78%) and a lower failure rate (67%)",yes,yes,yes,"""positive economic impacts were also reported, e.g., lower development costs per unit (100%) and a greater maturity of the product (two-third ofthe cases) caused by higher reliability of the products (78%) and a lower failure rate (67%)"""
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"Both the initial time investment and the loss of freedom of design were detrimental within product development. Yet, positive economic impacts were also reported, e.g., lower development costs per unit (100%) and a greater maturity of the product (two-third ofthe cases) caused by higher reliability of the products (78%) and a lower failure rate (67%). The most important driver for product development was the increase of component reuse. By intra-product family reuse of com-ponents, development costs can be distributed across a highernumber of parts built which lowers relative development costs. Increasing the reuse of models across generations can positively inﬂuence module maturity resulting in higher reliability and less mistakes.",The most important driver for product development was the increase of component reuse,no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"70%) were mostly driven by a reduced variety of manufacturing processes, including lower component variety (com- munal use), standard interfaces, and better function binding.A second level of validity could be ascertained in the direction- ality of the correlations. The literature has reported positive or neg- ative life phase and economic effects that arise when changing the modularity properties. All of our results are in agreement with thosereported in the literature except for two opposite outcomes: First, instead of seeing less coordination and documentation efforts in product development (as supported by three out of nine cases),Modularity propertyLife phase eﬀect CommonalityDevelopment  /g415meIni/g415al /g415me  investment Ease of mapping organisa/g415on to tasksParallel development Product innova/g415onStart of produc/g415on planning Outsourcing of development tasks Innova/g415on Adaptability UpgradeabilityEase of variant deriva/g415onDevelopment  costs per unit Maturity of  product Volume WeightEﬃcient product performanceEﬃciency CommonalityStock costs Dependency on  supplierCode  numbersStock Time for supplier  management Procurement  costs Purchasing  condi/g415ons Lot sizeNo. of needless  produc/g415on steps Component  varietyProduc/g415on cost  per unitParallel produc/g415on  processes Set up /g415me  Queing delaysLead /g415me PostponementCombinability Inventory costsInterface Standardi- za/g415onDevelopment risk Ease of supplier  management Beneﬁcial increase/decrease Detrimental increase/decrease Neutral increase/decreaseEﬀect direc/g415ons coincide with an  increase of modularity proper/g415esComponent  varietyParts administra/g415on  /g415meEcomonic  impact LegendInterface Standardi- za/g415onFreedom  of design Decoupling Oversizing Func/g415on bindingSet up changesCode  numbers No. of unused  features No.","All of our results are in agreement with thosereported in the literature except for two opposite outcomes: First, instead of seeing less coordination and documentation efforts in product development (as supported by three out of nine cases),Modularity propertyLife phase eﬀect CommonalityDevelopment  /g415meIni/g415al /g415me  investment Ease of mapping organisa/g415on to tasksParallel development Product innova/g415onStart of produc/g415on planning Outsourcing of development tasks Innova/g415on Adaptability UpgradeabilityEase of variant deriva/g415onDevelopment  costs per unit Maturity of  product Volume WeightEﬃcient product performanceEﬃciency CommonalityStock costs Dependency on  supplierCode  numbersStock Time for supplier  management Procurement  costs Purchasing  condi/g415ons Lot sizeNo",no,,,
Impact of Modularity Decisions on a Firm's Economic Objectives.txt,"While the analysis does provide vali- dation of directionality of bene ﬁts as reported in the literature, again it should be noted that it remains unknown the relationship betweenthis sample and the population of all modular design projects. 4.1 Discussion. The modularity impact model represents an abstract system of the interrelations between modularity design decisions and their economic impact on a ﬁrm. Three node types were introduced: (1) the modularity properties that can be in ﬂu- enced in the design phase, (2) their effects on activities throughout the product ’s life cycle, and (3) the economic impact of those effects. Modularity properties were de ﬁned in Sec.",The modularity impact model represents an abstract system of the interrelations between modularity design decisions and their economic impact on a ﬁrm,no,,,
